Date,User,Isi
2023-02-06 05:07:39+00:00,ridwanibnuhasan,@BigAlphaID Sesuai dengan target. Dan mungkin benar saja bahwa walaupun tahun ini dunia diancam resesi kemungkinan… https://t.co/Woh6qiSKGS
2023-02-06 04:59:29+00:00,faliqhan,"@BigAlphaID Rasanya untuk nyemplung sampe minus lagi hampir mustahil sih, apalagi sampe 2Q beruntun. Halo resesi? Udah ilang nih isunya?"
2023-02-06 04:56:21+00:00,COREIndonesia,"Lalu bagaimana dengan tahun ini? meskipun diprediksi tumbuh lebih lambat, CORE Indonesia sebenarnya masih melihat p… https://t.co/uBU9KjpAzN"
2023-02-06 04:48:33+00:00,Windutmiy,@garudadidada10 ancaman resesi global yang membutuhkan kebijakan fiskal dan moneter untuk mengelola risikonya
2023-02-06 04:29:56+00:00,dynarfitrianti1,@garudadidada10 kita pasti mampu melewati resesi global
2023-02-06 04:29:02+00:00,catatankaqihati,"RT @Anggita_lung: Dengan pencabutan status PPKM, optimis kondisi ekonomi Indonesia akan tetap tumbuh positif beraba pada kisaran 4,75-5,35…"
2023-02-06 04:22:32+00:00,soloposdotcom,"Resesi Global Disebut Tak Terlalu Berdampak ke RI, Ini Respons Rhenald Kasali https://t.co/w8UMLzpcIR"
2023-02-06 04:17:59+00:00,DdMulyadi2,"RT @CoklatBenkBenk: Harga Minyak Diprediksi Jeblok ke USD 68 per Barel, Analis: Pasar Khawatirkan Resesi 

#UtangMeroketEkonomiMencret
#Uta…"
2023-02-06 04:12:19+00:00,Indiah752834981,Itu bukan prestasi nomor 1 didunia tapi byk negara2 lain resesi...https://t.co/iEbF6Ixax7
2023-02-06 04:09:38+00:00,Di0nAngelo,"RT @CoklatBenkBenk: Harga Minyak Diprediksi Jeblok ke USD 68 per Barel, Analis: Pasar Khawatirkan Resesi 

#UtangMeroketEkonomiMencret
#Uta…"
2023-02-06 04:08:53+00:00,iqbalink13,"RT @Anggita_lung: Dengan pencabutan status PPKM, optimis kondisi ekonomi Indonesia akan tetap tumbuh positif beraba pada kisaran 4,75-5,35…"
2023-02-06 04:05:22+00:00,tribunglobal,"Hadapi Resesi Tahun 2023, Plt Bupati: Kita Akan Tingkatkan Produksi Pangan Mimika - Berita Harian Teratas https://t.co/t7isr2wZPU"
2023-02-06 04:04:02+00:00,balaidiklatpim,"RT @KemenkeuRI: Oleh karena itu, butuh strategi untuk menjaga permintaan domestik pada saat terjadi penurunan permintaan global.

Yap, di s…"
